"Type","Incentive","Game","Description","Amount","Goal"
"0 - Donation Goal","unreal &quot;co-op&quot;"," unreal","Two people, one level, with UltraJMan","$180.00","$100.00"
"0 - Bid War","vincent name","final fantasy vii part 1","Vincent will be recruited if total donations for his name reach $500 before the 2nd Junon visit (Underwater Reactor)","$993.00","(None)"
"1 - Bid option","sparkles","final fantasy vii part 1","","$498.0","(None)"
"1 - Bid option","brooks","final fantasy vii part 1","","$388.0","(None)"
"1 - Bid option","hobo joe","final fantasy vii part 1","","$70.0","(None)"
"1 - Bid option","weiss","final fantasy vii part 1","","$25.0","(None)"
"1 - Bid option","bill","final fantasy vii part 1","","$5.0","(None)"
"1 - Bid option","clark","final fantasy vii part 1","","$5.0","(None)"
"1 - Bid option","kentbuckl","final fantasy vii part 1","","$2.0","(None)"
"0 - Donation Goal","weaponless","super c","","$170.00","$1,020.00"
"0 - Bid War","worst ff game","final fantasy vii part 2","","$50.00","(None)"
"1 - Bid option","ff2","final fantasy vii part 2","","$45.0","(None)"
"1 - Bid option","ff8","final fantasy vii part 2","","$5.0","(None)"
"1 - Bid option","ff14","final fantasy vii part 2","","$0.0","(None)"
"0 - Bid War","yuffie name","final fantasy vii part 1","Yuffie will be recruited if total donations for her name reach $500 before the 1st Junon visit","$826.58","(None)"
"1 - Bid option","moose","final fantasy vii part 1","","$390.0","(None)"
"1 - Bid option","tossgirl","final fantasy vii part 1","","$200.5","(None)"
"1 - Bid option","dalecody","final fantasy vii part 1","","$70.0","(None)"
"1 - Bid option","rikku","final fantasy vii part 1","","$50.0","(None)"
"1 - Bid option","jprophet","final fantasy vii part 1","","$40.0","(None)"
"1 - Bid option","she gone","final fantasy vii part 1","","$20.0","(None)"
"1 - Bid option","idiot","final fantasy vii part 1","","$11.0","(None)"
"1 - Bid option","burden","final fantasy vii part 1","","$10.0","(None)"
"1 - Bid option","lunk","final fantasy vii part 1","","$10.0","(None)"
"1 - Bid option","mana","final fantasy vii part 1","","$10.0","(None)"
"1 - Bid option","yuffie","final fantasy vii part 1","","$10.0","(None)"
"1 - Bid option","cheyenne","final fantasy vii part 1","","$5.0","(None)"
"0 - Bid War","zelda1 file name (top two/24 character limit)","zelda 1","Name spread across all three files. Since it&#39;s a race, the top two names will be used.","$814.82","(None)"
"1 - Bid option","epsilon","zelda 1","","$329.8","(None)"
"1 - Bid option","lunk","zelda 1","","$265.0","(None)"
"1 - Bid option","lilgayal","zelda 1","","$160.0","(None)"
"1 - Bid option","biggoyal (all caps, not a typo)","zelda 1","","$35.0","(None)"
"1 - Bid option","brooks cracktackle!!!!!!","zelda 1","","$20.0","(None)"
"1 - Bid option","i am darkwing duck!!","zelda 1","","$5.0","(None)"
"0 - Bid War","zelda game choice","zelda: oracle of seasons/link&#39;s awakening dx","","$2,063.39","(None)"
"1 - Bid option","oracle of seasons","zelda: oracle of seasons/link&#39;s awakening dx","","$1,480.3","(None)"
"1 - Bid option","link&#39;s awakening dx","zelda: oracle of seasons/link&#39;s awakening dx","","$583.0","(None)"
