"Type","Incentive","Game","Description","Amount","Goal"
"1 - Bid option","...","The Legend of Zelda: The Minish Cap","","$255.0","(None)"
"1 - Bid option","SWITCH","The Legend of Zelda: The Minish Cap","","$245.0","(None)"
"1 - Bid option","Bex","The Legend of Zelda: The Minish Cap","","$120.0","(None)"
"1 - Bid option","SQUAWK","The Legend of Zelda: The Minish Cap","","$110.0","(None)"
"1 - Bid option","Kid","The Legend of Zelda: The Minish Cap","","$105.0","(None)"
"1 - Bid option","Swampy","The Legend of Zelda: The Minish Cap","","$50.0","(None)"
"1 - Bid option","Deebs","The Legend of Zelda: The Minish Cap","","$35.0","(None)"
"1 - Bid option","Renamon","The Legend of Zelda: The Minish Cap","","$20.2","(None)"
"1 - Bid option","Mayor","The Legend of Zelda: The Minish Cap","","$20.0","(None)"
"1 - Bid option","Tibby","The Legend of Zelda: The Minish Cap","","$15.0","(None)"
"1 - Bid option","Aflac","The Legend of Zelda: The Minish Cap","","$0.0","(None)"
"1 - Bid option","Loz","The Legend of Zelda: The Minish Cap","","$0.0","(None)"
"1 - Bid option","Zelda","The Legend of Zelda: The Minish Cap","","$0.0","(None)"
"0 - Donation Goal","Complete the 5 Special Levels","Super Dram World","Completing the game unlocks 5 super hard special levels. Donate to have DoDechehedron destroy them.","$40,005.00","$40,000.00"
"0 - Bid War","Community Preference: Nintendo vs Valve","TASBot plays the Community Choice","During the course of TASBot&#39;s shenanigans, an opportunity to show off something new will arise. You decide whether it&#39;s from the Nintendo franchise or the Valve franchise!","$32,684.03","(None)"
"1 - Bid option","Valve","TASBot plays the Community Choice","","$19,407.2","(None)"
"1 - Bid option","Nintendo","TASBot plays the Community Choice","","$13,276.7","(None)"
"0 - Bid War","Name the Character","Dark Souls 3","Name the character used in the Dark Souls 3 run. 16 characters maximum.","$50,743.66","(None)"
"1 - Bid option","Robbie Rotten","Dark Souls 3","","$13,058.8","(None)"
"1 - Bid option","Mamy Nova","Dark Souls 3","","$8,248.5","(None)"
"1 - Bid option","Batman","Dark Souls 3","","$4,624.1","(None)"
"1 - Bid option","THE CHAMP","Dark Souls 3","","$4,093.1","(None)"
"1 - Bid option","Big MclargeHuge","Dark Souls 3","","$3,073.1","(None)"
"1 - Bid option","LobosJR","Dark Souls 3","","$2,762.3","(None)"
"1 - Bid option","Ashen Juan","Dark Souls 3","","$2,087.3","(None)"
"1 - Bid option","GitGud","Dark Souls 3","","$1,694.3","(None)"
"1 - Bid option","MUGATU","Dark Souls 3","","$1,553.7","(None)"
"1 - Bid option","Dayman","Dark Souls 3","","$1,332.0","(None)"
"1 - Bid option","Bonesaw","Dark Souls 3","","$944.0","(None)"
"1 - Bid option","Phunk Royal","Dark Souls 3","","$683.3","(None)"
"1 - Bid option","Macaroni Grill","Dark Souls 3","","$673.1","(None)"
"1 - Bid option","Edwad Emberpants","Dark Souls 3","","$456.1","(None)"
"1 - Bid option","Darlington","Dark Souls 3","","$450.0","(None)"
"1 - Bid option","TheLegend27","Dark Souls 3","","$395.0","(None)"
"1 - Bid option","John DarkSouls","Dark Souls 3","","$300.0","(None)"
"1 - Bid option","Chungus","Dark Souls 3","","$275.6","(None)"
"1 - Bid option","Ronnie rotten","Dark Souls 3","","$275.0","(None)"
"1 - Bid option","Doom Guy","Dark Souls 3","","$261.0","(None)"
"1 - Bid option","YoloSwaggins","Dark Souls 3","","$232.5","(None)"
"1 - Bid option","Chris Jericho","Dark Souls 3","","$230.0","(None)"
"1 - Bid option","Brumpo Tungus","Dark Souls 3","","$214.0","(None)"
"1 - Bid option","Derek Carr","Dark Souls 3","","$195.0","(None)"
"1 - Bid option","S P I C Y B O I","Dark Souls 3","","$195.0","(None)"
"1 - Bid option","Bob","Dark Souls 3","","$190.0","(None)"
"1 - Bid option","Benny Crumplehat","Dark Souls 3","","$186.5","(None)"
"1 - Bid option","Finchy","Dark Souls 3","","$185.0","(None)"
"1 - Bid option","Londor Calrissian","Dark Souls 3","","$185.0","(None)"
"1 - Bid option","The Junker","Dark Souls 3","","$185.0","(None)"
"1 - Bid option","VeryGood","Dark Souls 3","","$175.0","(None)"
"1 - Bid option","Beard Phantom","Dark Souls 3","","$165.0","(None)"
"1 - Bid option","DoodBrodia","Dark Souls 3","","$130.0","(None)"
"1 - Bid option","BigDaddyP","Dark Souls 3","","$110.0","(None)"
"1 - Bid option","BiransLife","Dark Souls 3","","$73.0","(None)"
"1 - Bid option","SubMec","Dark Souls 3","","$70.0","(None)"
"1 - Bid option","Dark Iron Tarkus","Dark Souls 3","","$55.0","(None)"
"1 - Bid option","SKELETON MAN","Dark Souls 3","","$30.0","(None)"
"1 - Bid option","Flappycat","Dark Souls 3","","$25.5","(None)"
"1 - Bid option","Steebus Leweeb","Dark Souls 3","","$25.0","(None)"
"1 - Bid option","loser choice","Dark Souls 3","","$20.0","(None)"
"1 - Bid option","Sly","Dark Souls 3","","$20.0","(None)"
"1 - Bid option","Kim","Dark Souls 3","","$16.0","(None)"
"1 - Bid option","Hoody Doody","Dark Souls 3","","$15.0","(None)"
"1 - Bid option","Boten Ana","Dark Souls 3","","$10.1","(None)"
"1 - Bid option","Elajjaz","Dark Souls 3","","$10.0","(None)"
"0 - Donation Goal","Princes Glitch Exhibition","Dark Souls 3","Take one of the final bosses on a tour around the world.","$33,000.00","$33,000.00"
"0 - Bid War","Filename Choice","The Legend of Zelda: The Wind Waker HD","Choose the filename used for the Wind Waker HD run. 8 characters, letters and symbols.","$40,448.19","(None)"
"1 - Bid option","Rabram","The Legend of Zelda: The Wind Waker HD","","$16,440.7","(None)"
"1 - Bid option","Iwata","The Legend of Zelda: The Wind Waker HD","","$13,802.4"," (None)"
"1 - Bid option","Lonk","The Legend of Zelda: The Wind Waker HD","","$2,381.0","(None)"
"1 - Bid option","Loafus","The Legend of Zelda: The Wind Waker HD","","$1,927.5","(None)"
"1 - Bid option","A Shark","The Legend of Zelda: The Wind Waker HD","","$1,570.3","(None)"
"1 - Bid option","Waluigi","The Legend of Zelda: The Wind Waker HD","","$1,482.5","(None)"
"1 - Bid option","DirtyDan","The Legend of Zelda: The Wind Waker HD","","$775.0","(None)"
"1 - Bid option","Link","The Legend of Zelda: The Wind Waker HD","","$321.5","(None)"
"1 - Bid option","Samantha","The Legend of Zelda: The Wind Waker HD","","$285.0","(None)"
"1 - Bid option","Demoon9","The Legend of Zelda: The Wind Waker HD","","$255.0","(None)"
"1 - Bid option","4Carl","The Legend of Zelda: The Wind Waker HD","","$235.0","(None)"
"1 - Bid option","bertbert","The Legend of Zelda: The Wind Waker HD","","$165.0","(None)"
"1 - Bid option","WHAT","The Legend of Zelda: The Wind Waker HD","","$138.3","(None)"
"1 - Bid option","Pluto","The Legend of Zelda: The Wind Waker HD","","$130.0","(None)"
"1 - Bid option","DavyJones","The Legend of Zelda: The Wind Waker HD","","$125.0","(None)"
"1 - Bid option","xD","The Legend of Zelda: The Wind Waker HD","","$120.0","(None)"
"1 - Bid option","Dennis","The Legend of Zelda: The Wind Waker HD","","$100.0","(None)"
"1 - Bid option","Sempai","The Legend of Zelda: The Wind Waker HD","","$75.0","(None)"
"1 - Bid option","Mayor","The Legend of Zelda: The Wind Waker HD","","$50.0","(None)"
"1 - Bid option","Mr Tumbo","The Legend of Zelda: The Wind Waker HD","","$33.6","(None)"
"1 - Bid option","ace","The Legend of Zelda: The Wind Waker HD","","$30.0","(None)"
"1 - Bid option","DothUDig","The Legend of Zelda: The Wind Waker HD","","$5.0","(None)"
"0 - Bid War","Fate of the Animals","Super Metroid","Save the animals? Save the frames? You decide!","$794,339.76","(None)"
"1 - Bid option","Save the Animals","Super Metroid","","$400,233.4","(None)"
"1 - Bid option","Kill the Animals","Super Metroid","","$394,106.3","(None)"
"0 - Donation Goal","Fight the super hard genocide boss","Undertale","Show off the final genocide boss fight (and music) after the Undertale run.","$100,097.67","$100,000.00"
"0 - Bid War","How do we handle the final boss?","Undertale","","$168,255.69","(None)"
"1 - Bid option","Comfort Them","Undertale","","$134,592.6","(None)"
"1 - Bid option","Shun them","Undertale","","$33,663.0","(None)"
"0 - Bid War","Name the Fallen Human","Undertale","Name the Fallen Human for the Undertale run. 6 characters. Cannot be named after any other characters in the game.","$129,499.15","(None)"
"1 - Bid option","Wubby","Undertale","","$43,167.0","(None)"
"1 - Bid option","Bepis","Undertale","","$41,021.0","(None)"
"1 - Bid option","Temmie","Undertale","","$31,785.2","(None)"
"1 - Bid option","Arbys","Undertale","","$2,987.0","(None)"
"1 - Bid option","RUMMEL","Undertale","","$1,310.5","(None)"
"1 - Bid option","Bnesaw","Undertale","","$747.1","(None)"
"1 - Bid option","Bacon","Undertale","","$738.0","(None)"
"1 - Bid option","JoJo","Undertale","","$712.0","(None)"
"1 - Bid option","Luigi","Undertale","","$665.6","(None)"
"1 - Bid option","Tux","Undertale","","$590.0","(None)"
"1 - Bid option","thatdeadguy","Undertale","","$520.0","(None)"
"1 - Bid option","Busto","Undertale","","$511.0","(None)"
"1 - Bid option","Ziggy","Undertale","","$396.0","(None)"
"1 - Bid option","Funky","Undertale","","$348.0","(None)"
"1 - Bid option","bearwarp","Undertale","","$335.0","(None)"
"1 - Bid option","DChoco","Undertale","","$327.0","(None)"
"1 - Bid option","Echoen","Undertale","","$316.0","(None)"
"1 - Bid option","BrnMan","Undertale","","$260.0","(None)"
"1 - Bid option","1234","Undertale","","$246.0","(None)"
"1 - Bid option","Robbie","Undertale","","$237.5","(None)"
"1 - Bid option","Spoopy","Undertale","","$194.4","(None)"
"1 - Bid option","Chara","Undertale","","$179.7","(None)"
"1 - Bid option","MAX300","Undertale","","$175.0","(None)"
"1 - Bid option","Hubris","Undertale","","$175.0","(None)"
"1 - Bid option","Mercy","Undertale","","$166.0","(None)"
"1 - Bid option","Trash","Undertale","","$140.7","(None)"
"1 - Bid option","Papyru","Undertale","","$140.0","(None)"
"1 - Bid option","FrnkrZ","Undertale","","$135.0","(None)"
"1 - Bid option","BobRos","Undertale","","$105.0","(None)"
"1 - Bid option","Moondo","Undertale","","$100.0","(None)"
"1 - Bid option","Blueglass","Undertale","","$95.0","(None)"
"1 - Bid option","Kira","Undertale","","$95.0","(None)"
"1 - Bid option","TOTO","Undertale","","$90.0","(None)"
"1 - Bid option","4Head","Undertale","","$80.0","(None)"
"1 - Bid option","Dunkit","Undertale","","$75.0","(None)"
"1 - Bid option","Carrie","Undertale","","$73.5","(None)"
"1 - Bid option","Chyna","Undertale","","$50.0","(None)"
"1 - Bid option","Fluxxy","Undertale","","$50.0","(None)"
"1 - Bid option","Chloe","Undertale","","$45.0","(None)"
"1 - Bid option","GitGud","Undertale","","$36.6","(None)"
"1 - Bid option","BtnAna","Undertale","","$23.0","(None)"
"1 - Bid option","BepBep","Undertale","","$20.0","(None)"
"1 - Bid option","Wa","Undertale","","$15.0","(None)"
"1 - Bid option","Lion","Undertale","","$10.0","(None)"
"1 - Bid option","Kieran","Undertale","","$5.0","(None)"
"1 - Bid option","T-POT","Undertale","","$5.0","(None)"
"0 - Bid War","To Kill or not to Kill","Undertale","You did it. We&#39;re fighting him. You know who. The super hard genocide boss. But... do we need to kill him? I mean, genocide is about killing, but maybe there&#39;s another way? Maybe we can spare him?","$69,095.90","(None)"
"1 - Bid option","Spare him","Undertale","","$36,725.5","(None)"
"1 - Bid option","Kill him","Undertale","","$32,370.4","(None)"
"0 - Donation Goal","BONUS: Castlevania: Symphony of the Night","","Replace SETUP BLOCK 3 with a Richter All Bosses run of Castlevania: Symphony of the Night by Mecha Richter.","$15,036.18","$15,000.00"
"0 - Donation Goal","BONUS: Contra III: The Alien Wars","","Replace SETUP BLOCK 5 with an Any% Death Warps run of Contra III: The Alien Wars by Mr_K.","$30,551.63","$30,000.00"
"0 - Donation Goal","BONUS: Kirby Tilt &#39;n&#39; Tumble","","Replace SETUP BLOCK 1 with a run of Kirby Tilt &#39;n&#39; Tumble by Theguesst.","$13,341.45","$8,000.00"
"0 - Donation Goal","BONUS: Sonic Adventure DX: Directors Cut","","Replace SETUP BLOCK 4 with a run of Big The Cat&#39;s Story from Sonic Adventure DX: Director&#39;s Cut by JerKro.","$25,344.15","$25,000.00"
"0 - Donation Goal","BONUS: Super Mario Bros.: The Lost Levels 2p1c","","Replace SETUP BLOCK 6 with a 2p1c coop run of Super Mario Bros.: The Lost Levels between GameJ06 and AndrewG.","$50,053.83","$50,000.00"
"0 - Donation Goal","BONUS: Super Metroid Rotation","","Replace SETUP BLOCK 2 with a run of Super Metroid Rotation by Feral5x","$15,358.76","$15,000.00"
"0 - Donation Goal","BONUS TAS: Revenge on Gradius","","Back in AGDQ 2014, TASBot took on the Gradius TAS, but unfortunately Gradius proved too strong and the TAS desynced. TASBot has trained hard since then and is ready for round 2. Donate to give TASBot a second shot at the title!","$40,714.57","$40,000.00"
